ID,X,Y,PVANUM,NUM1,NUM2,DIR,NAME,TYPE,CLASS,PVA_ACRE,ADDRESS,PURCHASEPRICE,PURCHASEDATE,SALEPRICE,SALEDATE,PCT_INCREASE,MONTHS,NOTES
1,-84.4890454754,38.0571573473,11018950,617,,N,BROADWAY,,R,0.224,617 N BROADWAY,165000,2014-08,29000,2013-10,568.9655172,10,
2,-84.4881410542,38.0575766912,15463800,645,,N,BROADWAY,,R,0.0972,645 N BROADWAY,,,68000,,,,
3,-84.4879275529,38.0576711855,16518700,651,,N,BROADWAY,,R,0.0983,651 N BROADWAY,,,29500,2014-10,,,
4,-84.483702614,38.0496889986,16185000,530,,,ELM TREE,LN,R,0.3522,530 ELM TREE LN,375000,Current,100000,2015-04,375,6,
5,-84.4868515367,38.0603250054,14831400,721,,,HEADLEY,AVE,R,0.1148,721 HEADLEY AVE,163300,Current,52000,2012-12,314.0384615,34,
6,-84.4882914805,38.0528257456,10955000,509,,N,LIMESTONE,,R,0.1019,509 N LIMESTONE,169500,2015-07,42500,2010-08,398.8235294,47,
7,-84.4882674623,38.0529219249,12048400,513,,N,LIMESTONE,,R,0.0866,513 N LIMESTONE,149500,2015-07,70000,2013-08,213.5714286,23,
8,-84.4882017011,38.0529683979,15445600,515,,N,LIMESTONE,,R,0.1019,515 N LIMESTONE,159500,Current,53000,2013-09,300.9433962,25,
9,-84.4873385722,38.0535400624,16411215,549,,N,LIMESTONE,,R,0.1036,549 N LIMESTONE,127500,Current,35000,2012-03,364.2857143,43,
10,-84.4871460077,38.0536285174,14946600,555,,N,LIMESTONE,,R,0.1036,555 N LIMESTONE,187500,2015-08,72500,2011-07,258.6206897,49,
11,-84.4870940884,38.0537064361,15504300,557,,N,LIMESTONE,,M,0.0968,557 N LIMESTONE,205500,2015-08,50000,2011-04,411,52,
12,-84.4794650242,38.0559175037,16056450,175,,E,LOUDON,AVE,R,0.2181,175 E LOUDON AVE,229500,Current,35000,2012-05,655.7142857,41,
13,-84.4867095834,38.0531898569,13853050,109,,,RAND,AVE,R,0.0973,109 RAND AVE,175000,2015-06,55300,2014-11,316.4556962,7,
14,-84.4873056273,38.0530947747,16950450,110,,,RAND,AVE,R,0.0781,110 RAND AVE,182500,2014-11,49000,2013-12,372.4489796,11,
15,-84.4872274465,38.0530248076,13139800,112,,,RAND,AVE,R,0.0781,112 RAND AVE,109000,2011-04,26500,2010-08,411.3207547,8,This property has been sold two more times since this listed transaction
16,-84.4869210482,38.0527505994,12311850,120,,,RAND,AVE,R,0.0792,120 RAND AVE,185000,Current,50300,2015-04,367.7932406,6,
17,-84.4867434168,38.0525916294,13297900,124,,,RAND,AVE,R,0.0918,124 RAND AVE,,,110100,2014-04,,,
18,-84.4863574369,38.0528745223,12956300,125,,,RAND,AVE,R,0.0852,125 RAND AVE,175000,Current,35300,2015-03,495.7507082,7,
19,-84.4862784226,38.0528179638,11716400,127,,,RAND,AVE,R,0.0633,127 RAND AVE,147000,2015-07,65500,2014-10,224.4274809,9,
20,-84.4862200669,38.0527655259,11716425,129,,,RAND,AVE,R,0.0608,129 RAND AVE,145000,2015-07,65500,2014-10,221.3740458,9,
21,-84.486468064,38.0523452055,11716650,136,,,RAND,AVE,R,0.082,136 RAND AVE,,,65500,2014-10,,,
22,-84.4864513276,38.050056338,15383500,463,,,SILVER MAPLE,WAY,R,0.1033,463 SILVER MAPLE WAY,122500,2015-07,20000,2014-04,612.5,15,
23,-84.4883921081,38.0560246702,12809150,315,,W,SIXTH,ST,R,0.0724,315 W SIXTH ST,233333,Current,75000,2014-06,311.1066667,16,
